YBL056W (PTC3)    	         113684	         113765	      317	    1	    0
YBR016W           	         270209	         270247	      743	    2	    1
YBL049W (MOH1)    	         126607	         126831	      708	    5	    1
YBR031W (RPL4A)   	         299997	         300166	      215	    1	    1
YBR225W           	            n/a	         670622	      329	    2	    1
YBR221C (PDB1)    	         666451	         666248	      284	    2	    0
YBR037C (SCO1)    	         311465	         311451	      445	    6	    1
YBR124W           	            n/a	         486501	     2003	    1	    0
YBR047W (FMP23)   	         331786	         331831	      321	    4	    0
YBR206W           	            n/a	         634596	     1219	    2	    0
YBR101C (FES1)    	         444725	         444687	      368	    4	    1
YBL086C           	          62626	          62599	     1273	   12	    0
YBR112C (CYC8)    	            n/a	         465764	     1477	   27	    1
YBR070C (ALG14)   	         379996	         379931	      476	   13	    0
YBR248C (HIS7)    	         716542	         716460	      416	    3	    0
YBR204C           	         633423	         633376	      240	    2	    0
YBR292C           	            n/a	         785069	     1931	    0	    1
YBL012C           	            n/a	         203810	     2299	    0	    0
YBR296C-A         	            n/a	         800236	      280	    3	    0
YBL005W (PDR3)    	         217433	         217473	      340	    2	    0
YBR196C-A         	         614509	         614168	      352	    0	    0
YBL052C (SAS3)    	         121917	         121877	      878	    6	    2
YBR297W (MAL33)   	         800463	         800517	      280	    3	    0
YBL039W-B         	         143112	         143396	      524	    5	    0
YBR063C           	            n/a	         368182	      399	    1	    0
YBL067C (UBP13)   	          96151	          95884	      786	    4	    0
YBR205W (KTR3)    	            n/a	         633617	      240	    2	    0
YBR169C (SSE2)    	         576023	         575991	      347	    5	    0
YBR122C (MRPL36)  	         484531	         484497	      238	    1	    0
YBR062C           	         366606	         366598	      369	    2	    0
YBR131W (CCZ1)    	         497125	         497157	      293	    4	    0
YBR072W (HSP26)   	         381967	         382027	      983	   17	    1
YBR279W (PAF1)    	         761212	         761253	      357	    1	    0
YBR271W           	         744833	         744847	      453	    1	    0
YBL104C           	          21300	          21293	      781	    3	    0
YBR278W (DPB3)    	            n/a	         760290	      250	    0	    0
YBR104W (YMC2)    	         449603	         449661	      203	    3	    0
YBR095C (RXT2)    	         435760	         435692	      322	    3	    0
YBR296C (PHO89)   	         798551	         798516	     1600	    9	    1
YBR126W-B         	         490819	         490921	      534	    4	    1
YBR155W (CNS1)    	         549716	         549765	      761	    1	    1
YBR084W (MIS1)    	         410978	         411048	      424	    1	    0
YBR210W (ERV15)   	         645518	         645545	     2649	    4	    0
YBR287W           	         776530	         776567	      257	    0	    1
YBR082C (UBC4)    	         407373	         407163	     1999	   32	    1
YBR067C (TIP1)    	         372762	         372732	     1125	   12	    1
YBR035C (PDX3)    	         306972	         306955	     2125	   10	    1
YBL100W-C         	            n/a	          28427	      127	    0	    0
YBR223W-A         	            n/a	         668716	      369	    3	    2
YBR144C           	            n/a	         533543	      212	    0	    1
YBL073W           	            n/a	          87644	     1197	    4	    1
YBR014C (GRX7)    	         267398	         267336	      373	    0	    1
YBL034C (STU1)    	         158460	         158392	      266	    3	    0
YBR184W           	            n/a	         597358	      297	    3	    0
YBR120C (CBP6)    	         480985	         480917	      440	    0	    1
YBR141W-A         	            n/a	         527161	      538	    0	    0
YBR283C (SSH1)    	         770559	         770411	      823	    8	    0
YBR161W (CSH1)    	         561597	         561629	      660	    5	    0
YBR105C (VID24)   	         451994	         451963	      688	   10	    1
YBR027C           	            n/a	         294356	       68	    1	    0
YBR023C (CHS3)    	         287975	         287925	     1519	    9	    1
YBL099W (ATP1)    	          36752	          37050	     8503	   25	    0
YBR207W (FTH1)    	         635108	         635141	      221	    3	    0
YBR157C (ICS2)    	         554482	         554304	     2238	   50	    1
YBR089C-A (NHP6B) 	         426922	         426483	      665	    0	    1
YBR069C (TAT1)    	         378531	         378430	      787	    5	    1
YBL077W           	            n/a	          80895	      166	    3	    0
YBR025C (OLA1)    	         291904	         291865	     1011	    8	    0
YBR300C           	            n/a	         809091	     1242	    1	    0
YBR176W (ECM31)   	         583621	         583715	      364	    3	    1
YBR061C (TRM7)    	         365772	         365717	      256	    0	    1
YCL026C-B (HBN1)  	          74060	          73986	      717	    1	    0
YCL010C (SGF29)   	         104361	         104350	      268	    1	    0
YCR045W-A         	            n/a	         208747	      800	    0	    0
YCL029C (BIK1)    	          69973	          69921	      228	    2	    0
YCR088W (ABP1)    	         265021	         265065	      576	    6	    1
YCL011C (GBP2)    	         103404	         103358	      212	    5	    0
YCL016C (DCC1)    	          95796	          95763	      517	    3	    0
YCR007C           	         126958	         126728	     1739	    6	    1
YCR072C (RSA4)    	         242401	         242348	      236	    3	    0
YCR086W (CSM1)    	            n/a	         263389	      122	    0	    0
YCR084C (TUP1)    	         262651	         262449	      463	    6	    0
YCL065W           	            n/a	          13751	      732	    8	    4
YCL012C           	         101853	         101788	      286	    3	    0
YCL017C (NFS1)    	          94366	          94270	      350	    3	    1
YCL050C (APA1)    	          38864	          38801	      984	    6	    0
YCL057C-A         	          24343	          24325	      442	    6	    1
YCR091W (KIN82)   	         274336	         274401	     1540	    5	    1
YCR065W (HCM1)    	         229218	         229306	      518	   22	    0
YCL043C (PDI1)    	          50260	          50221	      362	    7	    0
YCR101C           	            n/a	         303027	     1330	    0	    0
YCR102C           	            n/a	         305464	     1267	    4	    0
YCR003W (MRPL32)  	         118594	         118618	      271	    2	    1
YCL042W           	            n/a	          50584	      362	    7	    0
YCR107W (AAD3)    	            n/a	         313887	      433	    0	    1
YCR108C           	            n/a	         316185	      431	    0	    0
YCR038C (BUD5)    	            n/a	         199545	      892	    3	    3
YCR053W (THR4)    	            n/a	         216693	      251	    5	    0
YCR035C (RRP43)   	         193032	         193014	      278	    1	    0
YCR047W-A         	            n/a	         211297	      877	    0	    2
YCR022C           	            n/a	         157761	      772	    8	    0
YCR028C (FEN2)    	         172509	         172420	      525	    0	    2
YCR068W (ATG15)   	            n/a	         237210	      891	    4	    0
YCR016W           	         143615	         143632	     1463	    9	    0
YCL048W (SPS22)   	            n/a	          42165	      437	    5	    1
YCR105W (ADH7)    	            n/a	         309067	      894	    1	    1
YCL038C (ATG22)   	            n/a	          56527	      846	    5	    0
YCR094W (CDC50)   	         286697	         286759	      318	    3	    0
YCL055W (KAR4)    	          27799	          27929	      569	   10	    0
YCR075W-A         	         248955	         248972	      159	    2	    0
YCR005C (CIT2)    	         122372	         122326	      201	    2	    1
YCL058W-A (ADF1)  	            n/a	          23584	      204	    1	    0
YCR020W-B (HTL1)  	         155256	         155318	      223	    0	    0
YCR006C           	            n/a	         123001	     3007	    4	    0
YCR054C (CTR86)   	         220146	         220063	      389	    0	    3
YCR066W (RAD18)   	         231461	         231496	      495	    1	    0
YCR085W           	            n/a	         262913	      463	    6	    0
YCL023C           	            n/a	          79296	     2273	    0	    0
YCL044C (MGR1)    	          48391	          48364	      288	    2	    1
YCL033C (MXR2)    	          63307	          63282	      158	    0	    0
YCR061W           	         225501	         225559	      828	    8	    0
YCR045C (RRT12)   	            n/a	         209606	      303	    3	    1
YCR051W           	         214061	         214067	      298	    2	    4
YCR023C           	         160445	         160369	      370	    0	    1
YCR079W (PTC6)    	         252753	         252842	      216	    2	    0
YCR024C-A (PMP1)  	            n/a	         163063	      378	    3	    1
YCR011C (ADP1)    	         137007	         136871	      872	   14	    2
YCL026C-A (FRM2)  	            n/a	          75285	      732	    3	    0
YCR018C-A         	            n/a	         151860	      974	    2	    0
YCR097W-A         	            n/a	         294436	      117	    1	    0
YCR077C (PAT1)    	         252668	         252625	      216	    2	    0
YCR099C           	            n/a	         301296	     1182	    0	    0
YCR041W           	            n/a	         200907	      732	    3	    3
YCL045C (EMC1)    	          46947	          46905	      205	    1	    3
YCL069W (VBA3)    	            n/a	           9706	     1379	    3	    3
YCR098C (GIT1)    	            n/a	         298602	     2226	   22	    1
YCR089W (FIG2)    	         267134	         267431	      587	    9	    1
YCR082W (AHC2)    	         258845	         258880	      228	    3	    0
YCL002C           	         111700	         111674	      239	    1	    0
YCR076C           	         250072	         250042	      192	    0	    2
YCR024C (SLM5)    	         162239	         162218	      376	    1	    0
YCR031C (RPS14A)  	         178238	         178216	     1299	    9	    0
YCR063W (BUD31)   	            n/a	         228314	      859	    8	    0
YCR044C (PER1)    	         207985	         207946	      184	    0	    0
YCL036W (GFD2)    	            n/a	          59026	      347	    7	    0
YCR019W (MAK32)   	            n/a	         152835	      974	    2	    0
YCL024W (KCC4)    	          78782	          79162	     1242	   14	    1
YCR004C (YCP4)    	         120487	         120316	      627	    3	    1
YCR057C (PWP2)    	         223351	         223224	      225	    5	    0
YCR095W-A         	            n/a	         289636	      380	    2	    0
YCR092C (MSH3)    	            n/a	         279817	      296	   12	    0
YCR002C (CDC10)   	         118379	         118346	      271	    2	    1
YCR095C (OCA4)    	         289318	         289255	      380	    2	    0
YCL025C (AGP1)    	          78102	          77919	     1029	   13	    1
YCR018C (SRD1)    	            n/a	         148901	     2704	   17	    0
YCR037C (PHO87)   	            n/a	         197181	      435	    5	    0
YCR081C-A         	            n/a	         258648	      231	    3	    0
YCR013C           	         139153	         139047	      135	    0	    2
YCR009C (RVS161)  	         131589	         131540	      730	    5	    0
YCL008C (STP22)   	         106860	         106853	      120	    1	    0
YCR032W (BPH1)    	         179386	         179516	     1299	    9	    0
YCL064C (CHA1)    	          16915	          16880	      409	   11	    2
YCL035C (GRX1)    	          61217	          61173	      484	    4	    5
YCR026C (NPP1)    	         166398	         166335	     1030	    3	    2
YCL031C (RRP7)    	          65601	          65568	      365	    2	    2
YCR036W (RBK1)    	         193257	         193293	      278	    1	    0
YCR047C (BUD23)   	         211630	         211541	      325	    4	    0
YCL073C           	            n/a	           8326	     1379	    3	    3
YCL030C (HIS4)    	            n/a	          68333	      265	   11	    0
YCL027W (FUS1)    	          71794	          71803	      435	    9	    1
YCR083W (TRX3)    	         259551	         259575	      308	    1	    2
YCL058C (FYV5)    	            n/a	          23981	       50	    0	    1
YCR033W (SNT1)    	         186191	         186485	      465	    1	    0
YCL021W-A         	          83419	          83620	     1344	    1	    0
YCR087W           	            n/a	         263973	       11	    0	    0
YCR015C           	         142524	         142168	     1463	    9	    0
YCR071C (IMG2)    	         240576	         240539	      261	    3	    1
YCL048W-A         	            n/a	          41488	      763	    4	    0
YCL028W (RNQ1)    	          70127	          70150	      228	    2	    0
YCL057W (PRD1)    	          24751	          24768	      442	    6	    1
YCR021C (HSP30)   	         157180	         157103	      313	    4	    1
YCL037C (SRO9)    	          58736	          58678	      347	    7	    0
YCR020C (PET18)   	            n/a	         154657	      170	    1	    1
YCR093W (CDC39)   	         280061	         280114	      296	   12	    0
YCR087C-A         	            n/a	         264464	      600	    6	    1
YCR039C (MATALPHA2)	            n/a	         200174	      263	    3	    3
YCL001W (RER1)    	         111856	         111914	      239	    1	    0
YCL051W (LRE1)    	          35841	          35865	      471	    1	    0
YCL001W-A         	            n/a	         113078	      597	    1	    0
YCR038W-A         	            n/a	         199289	     2107	    5	    0
YCR025C           	            n/a	         163852	      254	    1	    0
YCL014W (BUD3)    	            n/a	          96281	      517	    3	    0
YCL056C           	          27391	          27359	      569	   10	    0
YCR028C-A (RIM1)  	         173495	         173436	      385	    0	    0
YCR097W (HMRA1)   	         293801	         293832	      296	    5	    0
YCR106W (RDS1)    	            n/a	         310955	      802	    0	    0
YCR090C           	         272884	         272860	     1540	    5	    1
YCR034W (FEN1)    	         190561	         190588	      422	    0	    2
YCL047C           	          44447	          44437	      185	    1	    1
YCL063W (VAC17)   	          17261	          17290	      409	   11	    2
YCR104W (PAU3)    	            n/a	         307798	      868	    0	    1
YCL005W-A (VMA9)  	            n/a	         107023	      169	    2	    0
YCR020C-A (MAK31) 	         155102	         155094	      223	    0	    0
YCR043C           	         206683	         206640	      232	    3	    1
YCL076W           	            n/a	           1392	     1391	    0	    0
YCR096C (HMRA2)   	            n/a	         293535	      296	    5	    0
